city,city_zh,city_en,year,pm25_mean_ug_m3,valid_grid_cells,grid_cell_count,source_product,source_version,spatial_method
Copenhagen,哥本哈根,Copenhagen,2018,10.4818,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Copenhagen,哥本哈根,Copenhagen,2019,9.0573,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Copenhagen,哥本哈根,Copenhagen,2020,7.8779,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Copenhagen,哥本哈根,Copenhagen,2021,7.9531,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Copenhagen,哥本哈根,Copenhagen,2022,7.9664,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Copenhagen,哥本哈根,Copenhagen,2023,7.3198,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Copenhagen,哥本哈根,Copenhagen,2024,8.7167,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Dalian,大连,Dalian,2015,44.4598,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Dalian,大连,Dalian,2016,39.1001,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Dalian,大连,Dalian,2017,33.3068,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Dalian,大连,Dalian,2018,29.4119,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Dalian,大连,Dalian,2019,33.7021,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Dalian,大连,Dalian,2020,29.8377,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Dalian,大连,Dalian,2021,29.1282,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Dalian,大连,Dalian,2022,28.2413,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Dalian,大连,Dalian,2023,32.0144,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Dalian,大连,Dalian,2024,30.7306,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Dubai,迪拜,Dubai,2015,39.0564,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Dubai,迪拜,Dubai,2016,38.113,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Dubai,迪拜,Dubai,2017,39.9631,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
Dubai,迪拜,Dubai,2018,37.8778,9,9,ACAG SatPM2.5,V6.GL.03,mean of finite cells in 3x3 0.1-degree window
